Table S2: IEI Candidate Genes with high (>.9) pLI Filter,pLI,AssociatedGene,pNull,pRec,InItan,Pathway1,Pathway2,BothPathways
52,1,ASAP1,1.66E-19,1.97E-06,NEW,TRUE,FALSE,FALSE
53,0.99968,ASH2L,4.73E-12,0.00031653,KNOWN,FALSE,TRUE,FALSE
54,0.99131,ATF2,1.53E-08,0.0086885,NEW,TRUE,TRUE,TRUE
55,0.98109,ATL1,4.22E-09,0.018911,NEW,TRUE,FALSE,FALSE
56,0.9997,ATP11C,1.64E-13,0.00029572,NEW,TRUE,FALSE,FALSE
57,0.98939,ATP13A1,3.46E-13,0.01061,NEW,TRUE,FALSE,FALSE
58,0.99945,ATP2A2,1.51E-13,0.00055087,KNOWN,TRUE,FALSE,FALSE
59,0.99797,ATP6V0A1,7.39E-13,0.0020346,KNOWN,TRUE,FALSE,FALSE
60,0.97498,ATXN1,2.06E-07,0.02502,KNOWN,TRUE,FALSE,FALSE
61,0.99934,AUTS2,4.77E-14,0.00066098,NEW,TRUE,FALSE,FALSE
62,0.99388,BANP,6.48E-09,0.0061187,KNOWN,TRUE,FALSE,FALSE
63,0.99808,BCAR1,3.81E-10,0.0019177,KNOWN,FALSE,TRUE,FALSE
64,0.96998,BCL11A,3.23E-07,0.030024,NEW,TRUE,FALSE,FALSE
65,0.93667,BCL2L1,0.00025013,0.063076,KNOWN,TRUE,TRUE,TRUE
66,0.98871,BCL3,3.50E-06,0.011289,KNOWN,TRUE,TRUE,TRUE
67,0.96038,BCL6,1.30E-07,0.039615,KNOWN,TRUE,TRUE,TRUE
68,1,BCOR,2.32E-16,2.80E-06,KNOWN,TRUE,FALSE,FALSE
69,0.98761,BCR,5.06E-13,0.012391,KNOWN,FALSE,TRUE,FALSE
70,0.93717,BECN1,4.15E-07,0.062829,KNOWN,FALSE,TRUE,FALSE
71,0.99444,BHLHE40,6.18E-07,0.0055552,KNOWN,TRUE,FALSE,FALSE
72,0.94286,BMI1,7.97E-06,0.057135,KNOWN,FALSE,TRUE,FALSE
73,0.98799,BMP2,4.07E-06,0.012003,KNOWN,FALSE,TRUE,FALSE
74,0.9564,BMP4,2.00E-05,0.04358,KNOWN,FALSE,TRUE,FALSE
75,0.99863,BMPR1B,8.29E-10,0.0013688,KNOWN,TRUE,TRUE,TRUE
76,0.99998,BMPR2,1.36E-15,2.15E-05,KNOWN,FALSE,TRUE,FALSE
77,0.92762,BNC2,2.43E-08,0.072382,NEW,TRUE,FALSE,FALSE
78,0.99995,BRAF,1.91E-15,4.76E-05,KNOWN,FALSE,TRUE,FALSE
79,0.91582,BTG3,0.00010526,0.084073,NEW,TRUE,FALSE,FALSE
80,1,CACNA1A,8.29E-38,4.32E-13,NEW,TRUE,FALSE,FALSE
81,0.99879,CALD1,1.03E-12,0.0012117,KNOWN,TRUE,FALSE,FALSE
82,0.94473,CALM1,0.00017768,0.055091,KNOWN,FALSE,TRUE,FALSE
83,0.92086,CALM2,0.00043946,0.078701,KNOWN,FALSE,TRUE,FALSE
84,0.99845,CAMK2A,4.59E-11,0.0015489,NEW,FALSE,TRUE,FALSE
85,0.9991,CAMK2G,1.22E-11,0.00090008,KNOWN,TRUE,TRUE,TRUE
86,1,CASZ1,1.74E-20,2.10E-07,NEW,TRUE,FALSE,FALSE
87,0.99825,CBLB,5.13E-13,0.0017518,KNOWN,TRUE,TRUE,TRUE
88,0.94099,CCAR2,1.20E-10,0.059006,NEW,FALSE,TRUE,FALSE
89,0.99962,CCNA2,8.85E-10,0.00037892,KNOWN,TRUE,TRUE,TRUE
90,0.98658,CCND2,5.35E-06,0.013417,KNOWN,TRUE,FALSE,FALSE
91,0.98347,CCND3,8.92E-06,0.016521,KNOWN,TRUE,TRUE,TRUE
92,0.97187,CCNE1,2.75E-07,0.028125,KNOWN,FALSE,TRUE,FALSE
93,0.9998,CCNK,3.89E-11,0.00020255,KNOWN,TRUE,FALSE,FALSE
94,0.91924,CD47,1.92E-05,0.080738,KNOWN,FALSE,TRUE,FALSE
95,0.94879,CD86,2.99E-05,0.051176,KNOWN,TRUE,TRUE,TRUE
96,0.94308,CDC14B,3.23E-07,0.056924,NEW,TRUE,FALSE,FALSE
97,0.95625,CDC34,9.91E-05,0.043655,KNOWN,FALSE,TRUE,FALSE
98,0.90925,CDC37,5.24E-06,0.09074,KNOWN,FALSE,TRUE,FALSE
99,0.99309,CDC42BPA,3.40E-19,0.0069056,NEW,TRUE,TRUE,TRUE
100,1,CDC42BPB,1.79E-33,3.63E-12,NEW,TRUE,FALSE,FALSE
101,0.99171,CDH2,1.13E-10,0.0082875,KNOWN,FALSE,TRUE,FALSE
102,0.98806,CDH8,6.74E-09,0.011943,NEW,TRUE,FALSE,FALSE
103,0.99206,CDK1,1.48E-06,0.007941,KNOWN,TRUE,TRUE,TRUE
104,1,CDK12,4.44E-22,2.42E-08,NEW,FALSE,TRUE,FALSE
105,0.9948,CDK16,2.15E-08,0.0051985,NEW,FALSE,TRUE,FALSE
106,0.99982,CDK19,2.90E-11,0.00017937,KNOWN,TRUE,FALSE,FALSE
107,0.9149,CDK5R1,0.00052844,0.084567,KNOWN,FALSE,TRUE,FALSE
108,0.98315,CDK6,1.90E-06,0.01685,KNOWN,TRUE,TRUE,TRUE
109,0.99504,CDYL,9.48E-08,0.0049607,NEW,TRUE,FALSE,FALSE
110,0.99971,CELF1,9.01E-11,0.00028584,NEW,TRUE,FALSE,FALSE
111,0.99967,CFLAR,1.28E-10,0.00032987,KNOWN,TRUE,TRUE,TRUE
112,1,CHD2,1.37E-41,2.37E-16,NEW,TRUE,FALSE,FALSE
113,1,CHD9,6.25E-39,7.66E-12,KNOWN,TRUE,FALSE,FALSE
114,0.99403,CHUK,1.02E-11,0.0059748,KNOWN,TRUE,TRUE,TRUE
115,0.99999,CIC,2.21E-16,1.02E-05,NEW,TRUE,FALSE,FALSE
116,0.99997,CLIP2,4.16E-15,3.40E-05,NEW,TRUE,FALSE,FALSE
117,0.99999,CMIP,3.81E-15,8.82E-06,NEW,TRUE,FALSE,FALSE
118,0.99252,CMTR1,3.60E-12,0.0074848,NEW,TRUE,FALSE,FALSE
119,0.95549,CNTFR,4.26E-06,0.04451,NEW,FALSE,TRUE,FALSE
120,1,COL1A1,5.86E-31,1.06E-11,KNOWN,TRUE,TRUE,TRUE
121,1,COL1A2,4.48E-22,1.24E-06,KNOWN,TRUE,FALSE,FALSE
122,1,COL2A1,1.67E-29,1.55E-10,KNOWN,TRUE,FALSE,FALSE
123,0.99925,COPS5,4.70E-09,0.00075169,NEW,TRUE,TRUE,TRUE
124,0.98666,COPS6,1.07E-06,0.013343,NEW,FALSE,TRUE,FALSE
125,0.98555,CPEB4,2.18E-09,0.014455,NEW,TRUE,FALSE,FALSE
126,0.99673,CREB1,3.42E-08,0.003267,KNOWN,TRUE,TRUE,TRUE
127,1,CREBBP,1.67E-44,1.51E-17,KNOWN,TRUE,TRUE,TRUE
128,0.95936,CRK,1.67E-05,0.040623,KNOWN,FALSE,TRUE,FALSE
129,0.99173,CRMP1,1.36E-08,0.0082735,NEW,TRUE,FALSE,FALSE
130,0.99634,CSF1,4.51E-08,0.0036608,KNOWN,TRUE,TRUE,TRUE
131,0.99977,CSK,5.50E-11,0.0002335,KNOWN,FALSE,TRUE,FALSE
132,1,CSMD1,2.00E-42,7.37E-10,NEW,TRUE,FALSE,FALSE
133,0.99758,CSNK1A1,1.65E-08,0.0024232,KNOWN,TRUE,TRUE,TRUE
