Table S8: IEI Candidate Genes with Average in T Cells > 1 TPM Filter,CellType,Gene,mean,InItan,Pathway1,Pathway2,BothPathways,,
275,T cell,CTSL,3.071428571,NEW,TRUE,FALSE,FALSE,,
276,T cell,CUL1,25.05714286,KNOWN,FALSE,TRUE,FALSE,,
277,T cell,CUX1,2.671428571,KNOWN,TRUE,FALSE,FALSE,,
278,T cell,CXCR5,2.585714286,NEW,FALSE,TRUE,FALSE,,
279,T cell,CYLD,23.75714286,KNOWN,TRUE,TRUE,TRUE,,
280,T cell,CYTH1,76.14285714,NEW,TRUE,FALSE,FALSE,,
281,T cell,CYTH4,33.75714286,NEW,TRUE,FALSE,FALSE,,
282,T cell,DAAM1,3.271428571,NEW,TRUE,FALSE,FALSE,,
283,T cell,DAP3,150.0571429,KNOWN,TRUE,FALSE,FALSE,,
284,T cell,DAPK2,1.071428571,NEW,FALSE,TRUE,FALSE,,
285,T cell,DAPK3,17.88571429,NEW,TRUE,TRUE,TRUE,,
286,T cell,DAPP1,13.04285714,KNOWN,TRUE,TRUE,TRUE,,
287,T cell,DAXX,20.84285714,KNOWN,TRUE,TRUE,TRUE,,
288,T cell,DBI,406.6285714,NEW,TRUE,FALSE,FALSE,,
289,T cell,DBNL,153.3857143,KNOWN,TRUE,TRUE,TRUE,,
290,T cell,DCP1B,11.41428571,NEW,TRUE,FALSE,FALSE,,
291,T cell,DDB1,42.25714286,KNOWN,TRUE,TRUE,TRUE,,
292,T cell,DDB2,20.24285714,KNOWN,TRUE,TRUE,TRUE,,
293,T cell,DDIT4,236.8,KNOWN,TRUE,TRUE,TRUE,,
294,T cell,DDX50,21.97142857,NEW,TRUE,FALSE,FALSE,,
295,T cell,DDX58,8.042857143,KNOWN,FALSE,TRUE,FALSE,,
296,T cell,DDX60L,3.9,NEW,TRUE,FALSE,FALSE,,
297,T cell,DERA,19.32857143,NEW,TRUE,FALSE,FALSE,,
298,T cell,DHRS3,65.68571429,NEW,TRUE,FALSE,FALSE,,
299,T cell,DHX58,3.9,KNOWN,TRUE,FALSE,FALSE,,
